best_f1,best_acc,best_loss,best_epoch,best_path
0.73,0.7661,0.0014116768725216389,52,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,fine_tune
0.5512,0.6714,0.0005405363626778126,75,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,fine_tune
0.993,0.994,0.11233662068843842,18,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,fine_tune
1.0,1.0,0.0393495038151741,33,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,fine_tune
0.8456,0.8852,0.33162349462509155,8,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,fine_tune
0.9978,0.9982,0.2995809018611908,8,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,fine_tune
0.9852,0.9879,0.49926841259002686,2,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,fine_tune
0.8867,0.9012,0.14623506367206573,9,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,fine_tune
0.9255,0.9382,0.11418785899877548,16,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,fine_tune
0.971,0.9752,0.2592807114124298,5,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,fine_tune
1.0,1.0,0.19767403602600098,11,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,fine_tune

0.6486,0.6655,0.281509131193161,5,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,train_linear
0.4498,0.5964,0.09535682946443558,41,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,train_linear
0.9265,0.9374,0.5600534081459045,3,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,train_linear
0.761,0.8392,0.8769245147705078,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,train_linear
0.5726,0.6831,0.7030865550041199,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,train_linear
0.6975,0.789,0.3859957754611969,4,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,train_linear
0.9761,0.9791,0.28007155656814575,12,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,train_linear
0.843,0.8526,0.39069730043411255,6,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,train_linear
0.8566,0.8876,0.961711585521698,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,train_linear
0.9981,0.9984,0.37112998962402344,6,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,train_linear
0.9886,0.9906,0.36747151613235474,7,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,train_linear
0.742,0.8256,1.2827625274658203,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,train_linear
0.8144,0.8421,0.05746496096253395,73,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,train_linear
0.9096,0.927,0.2999423146247864,7,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,train_linear
0.9971,0.9975,0.3670695722103119,6,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,train_linear
